origen_id,origen_zona,destino_id,destino_zona,distancia_geodesica_km,distancia_manhattan_aprox_km,distancia_manhattan_exacta_km,duracion_normal_min,duracion_hora_punta_min,duracion_hora_valle_min
41,Central Harlem,74,East Harlem North,1.228,1.537,1.518,3.6,4.6,3.0
41,Central Harlem,75,East Harlem South,1.658,2.061,2.071,5.0,6.2,4.1
41,Central Harlem,79,East Village,9.007,11.46,11.374,27.3,34.1,22.7
41,Central Harlem,87,Financial District North,11.824,15.603,15.5,37.2,46.5,31.0
41,Central Harlem,88,Financial District South,12.313,16.327,16.222,38.9,48.7,32.4
41,Central Harlem,90,Flatiron,7.897,10.771,10.708,25.7,32.1,21.4
41,Central Harlem,100,Garment District,6.471,8.828,8.776,21.1,26.3,17.6
41,Central Harlem,103,Governor's Island/Ellis Island/Liberty Island,14.987,20.696,20.588,49.4,61.8,41.2
41,Central Harlem,107,Gramercy,7.991,10.278,10.203,24.5,30.6,20.4
41,Central Harlem,113,Greenwich Village North,8.757,11.621,11.545,27.7,34.6,23.1
41,Central Harlem,114,Greenwich Village South,9.293,12.353,12.273,29.5,36.8,24.5
41,Central Harlem,116,Hamilton Heights,2.529,2.753,2.724,6.5,8.2,5.4
41,Central Harlem,120,Highbridge Park,5.027,6.493,6.444,15.5,19.3,12.9
41,Central Harlem,125,Hudson Sq,9.88,13.439,13.361,32.1,40.1,26.7
41,Central Harlem,127,Inwood,7.368,9.572,9.5,22.8,28.5,19.0
41,Central Harlem,128,Inwood Hill Park,7.89,9.841,9.759,23.4,29.3,19.5
41,Central Harlem,137,Kips Bay,7.408,9.235,9.161,22.0,27.5,18.3
41,Central Harlem,140,Lenox Hill East,4.324,4.605,4.555,10.9,13.7,9.1
41,Central Harlem,141,Lenox Hill West,4.211,4.859,4.813,11.6,14.4,9.6
41,Central Harlem,142,Lincoln Square East,4.259,5.978,5.949,14.3,17.8,11.9
41,Central Harlem,143,Lincoln Square West,4.398,6.239,6.215,14.9,18.6,12.4
41,Central Harlem,144,Little Italy/NoLiTa,10.035,13.141,13.051,31.3,39.2,26.1
41,Central Harlem,148,Lower East Side,10.055,12.845,12.75,30.6,38.3,25.5
41,Central Harlem,151,Manhattan Valley,1.59,2.142,2.139,5.1,6.4,4.3
41,Central Harlem,152,Manhattanville,1.529,1.726,1.74,4.2,5.2,3.5
41,Central Harlem,153,Marble Hill,8.671,11.429,11.346,27.2,34.0,22.7
41,Central Harlem,158,Meatpacking/West Village West,9.107,12.596,12.529,30.1,37.6,25.1
41,Central Harlem,161,Midtown Center,5.605,7.384,7.334,17.6,22.0,14.7
41,Central Harlem,162,Midtown East,5.582,7.079,7.025,16.9,21.1,14.0
41,Central Harlem,163,Midtown North,4.956,6.664,6.622,15.9,19.9,13.2
41,Central Harlem,164,Midtown South,6.82,9.068,9.008,21.6,27.0,18.0
41,Central Harlem,166,Morningside Heights,1.051,1.459,1.448,3.5,4.3,2.9
41,Central Harlem,170,Murray Hill,6.69,8.593,8.53,20.5,25.6,17.1
